English	Spanish	Part of Speech
Drank	tomamos	Noun
Drank	tomaste	Noun
Drank	tomó	Noun
Drastic	drástico	Noun
Draught	aire	Noun
Draw	cerrar	Noun
Draw	dibuja	Noun
Draw	dibujamos	Noun
Draw	dibujan	Noun
Draw	dibujar	Noun
Draw	dibujaron	Noun
Draw	dibujas	Noun
Draw	dibujaste	Noun
Draw	dibuje	Noun
Draw	dibujen	Noun
Draw	dibujes	Noun
Draw	dibujo	Noun
Draw	dirigir	Noun
Draw	el empate	Noun
Draw	empatada	Noun
Draw	libra	Noun
Draw	llamara	Noun
Draw	llame	Noun
Draw	pintar	Noun
Draw	robo	Noun
Draw	sacar	Noun
Draw	saquen	Noun
Draw	tirar	Noun
Draw	traza	Noun
Draw	trazáramos	Noun
Draw Attention	atraer la atención	Noun
Draw Attention	captar la atención	Noun
Draw Attention	destacar	Noun
Draw Attention	llamar la atención	Noun
Draw Attention	resaltar	Noun
Draw Attention To Oneself	significar	Noun
Draw Back	abran	Noun
Draw Back	abras	Noun
Draw The Winning Number In	tirar	Noun
Draw Up	hagan	Noun
Draw Up	hiciera	Noun
Draw Your Attention To	atraer su atención a	Noun
Draw Your Attention To	destacar	Noun
Draw Your Attention To	fijar su atención en	Noun
Draw Your Attention To	llamar su atención sobre	Noun
Draw Your Attention To	poner su atención en	Noun
Draw Your Attention To	señalar	Noun
Drawer	cajón	Noun
Drawing	dibujando	Noun
Drawing	dibujar	Noun
Drawing	dibujo	Noun
Drawing	el dibujo	Noun
Drawing	pintar	Noun
Drawn	acercar	Noun
Drawn	acercarse	Noun
Drawn	alargar	Noun
Drawn	arrancado	Noun
Drawn	arrancar	Noun
Drawn	arrastrado	Noun
Drawn	arrastrar	Noun
Drawn	atracción	Noun
Drawn	atraer	Noun
Drawn	atraído	Noun
Drawn	bajar	Noun
Drawn	cobrado	Noun
Drawn	cobrar	Noun
Drawn	conseguido	Noun
Drawn	conseguir	Noun
Drawn	correr	Noun
Drawn	dibujadas	Noun
Drawn	dibujado	Noun
Drawn	dibujados	Noun
Drawn	dibujar	Noun
Drawn	empatado	Noun
Drawn	empatar	Noun
Drawn	empate	Noun
Drawn	esconder	Noun
Drawn	establecido	Noun
Drawn	extraer	Noun
Drawn	extraído	Noun
Drawn	formar	Noun
Drawn	hacer	Noun
Drawn	llegar	Noun
Drawn	obtener	Noun
Drawn	obtenido	Noun
Drawn	pintado	Noun
Drawn	pintar	Noun
Drawn	ponerse	Noun
Drawn	preparar	Noun
Drawn	retirar	Noun
Drawn	retraer	Noun
Drawn	retroceder	Noun
Drawn	reunir	Noun
Drawn	robado	Noun
Drawn	robar	Noun
Drawn	sacado	Noun
Drawn	sacar	Noun
Drawn	salir	Noun
Drawn	tirado	Noun
Drawn	tirar	Noun
Drawn	trazado	Noun
Drawn	unirse	Noun
Draws	libra	Noun
Dream	ensueño	Noun
Dream	ideal	Noun
Dream	sonaban	Noun
Dream	soñamos	Noun
Dream	soñar	Noun
Dream	sueña	Noun
Dream	sueñan	Noun
Dream	sueño	Noun
Dream	sueños	Noun
Dream Job	empleo soñado	Noun
Dream Job	trabajo soñado	Noun
Dreamed/dreamt	soñamos	Noun
Dreaming	soñar	Verb
Dress	arregla	Noun
Dress	arreglamos	Noun
Dress	arreglar	Noun
Dress	arreglaron	Noun
Dress	arreglarán	Noun
Dress	arreglaré	Noun
Dress	arreglas	Noun
Dress	arreglo	Noun
Dress	beneficio	Noun
Dress	decoras	Noun
Dress	decoraste	Noun
Dress	decoró	Noun
Dress	el vestido	Noun
Dress	me vestí	Noun
Dress	preparar	Noun
Dress	prepararon	Noun
Dress	preparas	Noun
Dress	vendar	Noun
Dress	vestido	Noun
Dress	vestir	Noun
Dress	vestirme	Noun
Dress	vestirnos	Noun
Dress	vestirse	Noun
Dress	vestirte	Noun
Dress	vestiré	Noun
Dress	vestiste	Noun
Dress	vestí	Noun
Dress	vista	Noun
Dress	vistieron	Noun
Dress Code	código de vestimenta	Noun
Dress Rehearsal	el ensayo general	Noun
Dress Up	disfrazan	Noun
Dress Up	disfrazarme	Noun
Dress Up	disfrazarse	Noun
Dress Up	disfrazarte	Noun
Dress Up	disfrazas	Noun
Dress Up	disfrazo	Noun
Dressed	arreglado	Verb
Dressed	decorar	Verb
Dressed	me vestí	Verb
Dressed	preparado	Verb
Dressed	preparar	Verb
Dressed	se vistió	Verb
Dressed	vendar	Verb
Dressed	vestido	Verb
Dressed	vestir	Verb
Dressed	vestirse	Verb
Dressed-Up	guapo	Noun
Dresser	cómoda	Noun
Dresser	tocador	Noun
Dresser	vestidor	Noun
Dresses	abona	Noun
Dresses	abonar	Noun
Dresses	adoba	Noun
Dresses	adobar	Noun
Dresses	adorna	Noun
Dresses	adornar	Noun
Dresses	alinea	Noun
Dresses	alinear	Noun
Dresses	alinearse	Noun
Dresses	aliña	Noun
Dresses	aliñar	Noun
Dresses	arregla	Noun
Dresses	arreglar	Noun
Dresses	curte	Noun
Dresses	curtir	Noun
Dresses	darle / pasarle un café a	Noun
Dresses	decora	Noun
Dresses	decorar	Noun
Dresses	disfrazares	Noun
Dresses	disfrazarse	Noun
Dresses	echarle una regañina a	Noun
Dresses	labra	Noun
Dresses	labrar	Noun
Dresses	prepara	Noun
Dresses	preparar	Noun
Dresses	regañares	Noun
Dresses	retares	Noun
Dresses	venda	Noun
Dresses	vendar	Noun
Dresses	vestidos	Noun
Dresses	vestir	Noun
Dresses	vestirse	Noun
Dresses	viste	Noun
Dressing	aderezo	Verb
Dressing	beneficio	Verb
Dressing	vendaje	Verb
Dressing Room	el camerino	Noun
Dressing Room	el vestidor	Noun
Dressing Room	vestidor	Noun
Dressmaker	modista	Noun
Drew	dibujamos	Noun
Drew	dibujaron	Noun
Drew	dibujaste	Noun
Drew	dibujé	Noun
Drew	dibujó	Noun
Drew	sacaste	Noun
Drew	saqué	Noun
Dried	secar	Verb
Dried	sequé	Verb
Dried Fruit Or Nut	el fruto seco	Noun
Dried Fruit Or Nut	la fruta seca	Noun
Drill	la taladradora	Noun
Drink	beba	Verb
Drink	bebamos	Verb
Drink	beban	Verb
Drink	bebas	Verb
Drink	bebe	Verb
Drink	bebemos	Verb
Drink	beben	Verb
Drink	beber	Verb
Drink	beberemos	Verb
Drink	beberá	Verb
Drink	beberán	Verb
Drink	beberás	Verb
Drink	beberé	Verb
Drink	bebes	Verb
Drink	bebida	Verb
Drink	bebieron	Verb
Drink	bebiste	Verb
Drink	bebió	Verb
Drink	bebo	Verb
Drink	bebí	Verb
Drink	copa	Verb
Drink	la bebida	Verb
Drink	toma	Verb
Drink	toman	Verb
Drink	tomar	Verb
Drink	tomara	Verb
Drink	tomaras	Verb
Drink	tomaremos	Verb
Drink	tomaron	Verb
Drink	tomarse	Verb
Drink	tomará	Verb
Drink	tomarán	Verb
Drink	tomarás	Verb
Drink	tomaré	Verb
Drink	tomaste	Verb
Drink	tome	Verb
Drink	tomen	Verb
Drink	tomo	Verb
Drink	trago	Verb
Drink	tú bebes	Verb
Drink Them	bébelos	Noun
Drink's	copa	Noun
Drinking	beber	Verb
Drinking	bebiendo	Verb
Drinking	tomamos	Verb
Drinking	tomando	Verb
Drinking	tomar	Verb
Drinking	tomándose	Verb
Drinks	bebe	Noun
Drinks	beben	Noun
Drinks	beber	Noun
Drinks	bebidas	Noun
Drinks	toma	Noun
Drinks	tomarse	Noun
Drinks	tragos	Noun
Drip	estilo	Noun
Drip	gotear	Noun
Drip	gotee	Noun
Drive	abren	Noun
Drive	abrirán	Noun
Drive	abriría	Noun
Drive	abro	Noun
Drive	avenida	Noun
Drive	barrer	Noun
Drive	barres	Noun
Drive	barro	Noun
Drive	clavo	Noun
Drive	conduce	Noun
Drive	conducen	Noun
Drive	conduces	Noun
Drive	conducir	Noun
Drive	condujiste	Noun
Drive	conduzca	Noun
Drive	conduzco	Noun
Drive	empuje	Noun
Drive	lleva	Noun
Drive	lleve	Noun
Drive	lleves	Noun
Drive	manejan	Noun
Drive	manejar	Noun
Drive	manejas	Noun
Drive	marcha	Noun
Drive	rueda	Noun
Drive	unidad	Noun
Drive	viaje	Noun
Drive	volveremos	Noun
Drive	volvería	Noun
Drive Crazy	vuelve	Noun
Drive Something Into Something	clavo	Noun
Driven	abierto	Noun
Driven	avenida	Noun
Driven	barrer	Noun
Driven	calle	Noun
Driven	conducido	Noun
Driven	empujar	Noun
Driven	empuje	Noun
Driven	entrada	Noun
Driven	expulsar	Noun
Driven	irse	Noun
Driven	lanzar	Noun
Driven	llegar	Noun
Driven	mandar	Noun
Driven	marcha	Noun
Driven	motivado	Noun
Driven	mover	Noun
Driven	salir	Noun
Driver	conductor	Noun
Driver	conductora	Noun
Driver	el conductor	Noun
Driver	la conductora	Noun
Drives	barrer	Noun
Drives	rueda	Noun
Driving	conducir	Verb
Driving	manejar	Verb
Driving License	el carnet de conducir	Noun
Driving License	el permiso de conducir	Noun
Driving License	la licencia de conducción	Noun
Drizzle	lloviznar	Noun
Drizzling	lloviznar	Verb
Drop	abandonar	Noun
Drop	abandonará	Noun
Drop	alargar	Noun
Drop	alargarse	Noun
Drop	alargará	Noun
Drop	amainar	Noun
Drop	amainará	Noun
Drop	baja	Noun
Drop	bajar	Noun
Drop	bajaran	Noun
Drop	bajará	Noun
Drop	buzón	Noun
Drop	caer	Noun
Drop	caerse	Noun
Drop	caerá	Noun
Drop	caerían	Noun
Drop	caigan	Noun
Drop	cairel	Noun
Drop	caían	Noun
Drop	caída	Noun
Drop	colocar	Noun
Drop	colocará	Noun
Drop	declive	Noun
Drop	dejar	Noun
Drop	dejará	Noun
Drop	dejará caer	Noun
Drop	dejará de ver a	Noun
Drop	derribar	Noun
Drop	derribará	Noun
Drop	descender	Noun
Drop	descenderá	Noun
Drop	descenso	Noun
Drop	desertar	Noun
Drop	desplomaron	Noun
Drop	desplomarse	Noun
Drop	disminución	Noun
Drop	disminuir	Noun
Drop	disminuyeron	Noun
Drop	escotillón	Noun
Drop	experimentará un descenso	Noun
Drop	gota	Noun
Drop	gotas	Noun
Drop	hundiera	Noun
Drop	lanzamiento	Noun
Drop	lanzar	Noun
Drop	lanzará	Noun
Drop	lágrima	Noun
Drop	mandar	Noun
Drop	mandará	Noun
Drop	marginarse	Noun
Drop	omitir	Noun
Drop	omitirá	Noun
Drop	parir	Noun
Drop	parirá	Noun
Drop	pasar	Noun
Drop	pasará a dejar	Noun
Drop	perder	Noun
Drop	perderá	Noun
Drop	quedar atrás / rezagarse con respecto a	Noun
Drop	quedarse atrás	Noun
Drop	reducir	Noun
Drop	reducirá	Noun
Drop	renunciará a	Noun
Drop	retirar	Noun
Drop	retirará	Noun
Drop	rezagarse	Noun
Drop	salto	Noun
Drop	soltar	Noun
Drop	soltara	Noun
Drop	soltará	Noun
Drop	suprimirá algo	Noun
Drop	tirar	Noun
Drop	tirará	Noun
Drop	tumbar	Noun
Drop	tumbará	Noun
Drop Off	caerse	Noun
Drop Off	dejar	Noun
Drop Off	dejará	Noun
Drop Off	disminuirá	Noun
Dropped Off	dejado	Noun
Drought	sequía	Noun
Drove	abríamos	Noun
Drove	avenida	Noun
Drove	barrer	Noun
Drove	barrieron	Noun
Drove	barría	Noun
Drove	conducía	Noun
Drove	conducíamos	Noun
Drove	conduje	Noun
Drove	condujeron	Noun
Drove	condujimos	Noun
Drove	condujiste	Noun
Drove	condujo	Noun
Drove	condujéramos	Noun
Drove	empuje	Noun
Drove	expulsar	Noun
Drove	lanzaron	Noun
Drove	manejaba	Noun
Drove	manejabas	Noun
Drove	marcha	Noun
Drove	movía	Noun
Drove	movían	Noun
Drove	ofensiva	Noun
Drove	volviste	Noun
Drove	volvió	Noun
Drove	volvía	Noun
Drug	droga	Noun
Drug	drogado	Noun
Drug	drogar	Noun
Drug	estupefaciente	Noun
Drug	fármaco	Noun
Drug	medicamento	Noun
Drug	medicina	Noun
Drug's	medicamento	Noun
Drugstore	farmacia	Noun
Drum	tambor	Noun
Drum	tambores	Noun
Drum	un tambor	Noun
Drum Kit	batería	Noun
Drum Set	batería	Noun
Drumkit	una batería	Noun
Drums	batería	Noun
Drums	tambores	Noun
Drums	una batería	Noun
Drunk	bebido	Noun
Drunk	borracho	Noun
Drunk	borrachos	Noun
Drunk	privado	Noun
Drunk	tomado	Noun
Drunkard	borracho	Noun
Dry	curarse	Noun
Dry	seca	Noun
Dry	secan	Noun
Dry	secar	Noun
Dry	secarse	Noun
Dry	secarte	Noun
Dry	secas	Noun
Dry	secaste	Noun
Dry	seco	Noun
Dry	secos	Noun
Dry	sequé	Noun
Dry	sécate	Noun
Dry Cleaner's	la tintorería	Noun
Dryer	secador	Noun
Dryer	secadora	Noun
Drying	secar	Verb
Dubbing	el doblaje	Noun
Duck	el pato	Noun
Duck	pato	Noun
Ducks	esconderse	Noun
Dude	tía	Noun
Dude	tío	Noun
Dug	abierto	Noun
Dulce	dulce	Noun
Dumb	tonto	Noun
Dumbo	estúpido	Noun
Dumbo	tonto	Noun
Dummy	tonto	Noun
Duo's	amigo	Noun
Duplex	dúplex	Noun
During	durante	Verb
During	por	Verb
During Childhood	de niña	Noun
During The	des	Noun
Dusk	anochecer	Noun
Dust	polvo	Noun
Dust	quitar	Noun
Dustbin	basurero	Noun
Dustpan	el recogedor	Noun
Duty	deber	Noun
Duty	está de servicio toda la mañana	Noun
Duty	funciones	Noun
Duty	función	Noun
Duty	impuesto	Noun
Duty	obligación	Noun
Duty	responsabilidades	Noun
Duty	servicio	Noun
Duvet Cover	una funda nórdica	Noun
Dye	color	Noun
Dye	colorantes	Noun
Dye	se tiñe	Noun
Dye	teñir	Noun
Dye	teñirme	Noun
Dye	teñirse	Noun
Dye	teñirte	Noun
Dye	teñiré	Noun
Dye	teñí	Noun
Dye	tinte	Noun
Dye	tintura	Noun
Dye	tiñen	Noun
Dye	tiñeron	Noun
Dye	tiñes	Noun
Dye	tiño	Noun
Dye	tiñó	Noun
Dying	muriendo	Adjective
E-Mail	un correo electrónico	Noun
Each	cada	Noun
Each Other	el uno al otro	Noun
Each Other	los unos a los otros	Noun
Each Other	mutuamente	Noun
Each Other	nos	Noun
Each Other	otro	Noun
Eager	ansioso	Noun
Eagle	Águila	Adjective
Ear	oreja	Noun
Ear	oído	Noun
Earache	dolor de oído	Noun
Earache	el oído	Noun
Earbuds	audífonos	Noun
Earlier	anterior	Noun
Earlier	más temprano	Noun
Early	pronto	Adverb
Early	temprano	Adverb
Early Days	comienzos	Noun
Early Days	inicios	Noun
Early Days	primeros años	Noun
Early Days	primeros días	Noun
Earn	gana	Noun
Earn	ganabas	Noun
Earn	ganamos	Noun
Earn	ganan	Noun
Earn	ganar	Noun
Earn	ganaras	Noun
Earn	ganarme	Noun
Earn	ganarte	Noun
Earn	ganas	Noun
Earn	gane	Noun
Earn	gano	Noun
Earn	ganáis	Noun
Earned	dieron	Verb
Earned	ganado	Verb
Earning	ganar	Verb
Earns	gana	Noun
Earphone	auricular	Noun
Earphones	auricular	Noun
Earring	arete	Verb
Earring	aro	Verb
Earring	caravana	Verb
Earring	pendiente	Verb
Earring	zarcillo	Verb
Earrings	los pendientes	Noun
Ears	las orejas	Noun
Earth	la Tierra	Noun
Earth	la tierra	Noun
Earth	tierra	Noun
Earthly	terreno	Adverb
Earthquake	seísmo	Noun
Earthquake	sismo	Noun
Earthquake	terremoto	Noun
Ease	calmo	Noun
Ease	facilidad	Noun
Easier	más fácil	Noun
Easier	más fáciles	Noun
Easier	natural	Noun
Easiest	más fácil	Noun
Easily	bien	Adverb
Easily	fácil	Adverb
Easily	fácilmente	Adverb
East	el Este	Noun
East	este	Noun
East	oriental	Noun
East	Sureste	Noun
Easter	la Semana Santa	Noun
Easter	Pascua	Noun
Easter Monday	el Lunes Santo	Noun
Easter Sunday	el Domingo de Pascua	Noun
Easter Sunday	el Domingo de Resurrección	Noun
Eastern	este	Noun
Easy	fácil	Noun
Easy	fáciles	Noun
Easy	natural	Noun
Easygoing	relajado	Verb
Eat	cenaban	Noun
Eat	coma	Noun
Eat	comamos	Noun
Eat	coman	Noun
Eat	comas	Noun
Eat	come	Noun
Eat	comemos	Noun
Eat	comen	Noun
Eat	comer	Noun
Eat	comeremos	Noun
Eat	comerse	Noun
Eat	comerte	Noun
Eat	comerá	Noun
Eat	comerás	Noun
Eat	comeré	Noun
Eat	comería	Noun
Eat	comes	Noun
Eat	comiera	Noun
Eat	comieras	Noun
Eat	comieron	Noun
Eat	comiste	Noun
Eat	comiéramos	Noun
Eat	comió	Noun
Eat	como	Noun
Eat	comí	Noun
Eat	comía	Noun
Eat	comías	Noun
Eat	cómanla	Noun
Eat	cómanse	Noun
Eat	tomar	Noun
Eat	tomara	Noun
Eat Breakfast	desayunar	Noun
Eat Breakfast	desayuno	Noun
Eat Dinner	cenamos	Noun
Eat Dinner	cenar	Noun
Eat Lunch	almorcé	Noun
Eat Lunch	almorzamos	Noun
Eat Lunch	almuerza	Noun
Eat Lunch	almuerzan	Noun
Eat Lunch	almuerzo	Noun
Eat Them	las comen	Noun
Eat Them	los comen	Noun
Eaten	comer	Noun
Eaten	comida	Noun
Eaten	comido	Noun
Eaten	comía	Noun
Eating	come	Verb
Eating	comer	Verb
Eating	comiendo	Verb
Eating	comiéndose	Verb
Eating	comíamos	Verb
Eating Breakfast	desayunar	Noun
Eating Dinner	cenar	Noun
Eats	coma	Noun
Eats	come	Noun
Eats	ingiere	Noun
Eats Lunch	almuerza	Noun
Eau De Cologne	colonia	Noun
Eclipse	eclipse	Noun
Eco-Friendly	ecológico	Adverb
Ecological	ecológico	Noun
Ecologist	ecologista	Noun
Ecology	ecología	Noun
Ecology	la ecología	Noun
Economic	económico	Noun
Economical	económico	Noun
Economics	economía	Noun
Economy	economía	Noun
Economy	familiar	Noun
Edge	afila	Noun
Edge	afilar	Noun
Edge	afilo	Noun
Edge	borde	Noun
Edge	cantos	Noun
Edge	filo	Noun
Edge	orilla	Noun
Edge	orillara	Noun
Edge	orillarte	Noun
Edge	orillé	Noun
Edge	ventaja	Noun
Edge Of My Seat	con el corazón en un puño	Noun
Edge Of My Seat	en tensión	Noun
Edge Of My Seat	expectante	Noun
Edgy	mosca	Noun
Edible	comestible	Noun
Edit	corte	Noun
Edit Out	corte	Noun
Edition	la edición	Noun
Editor	editor	Noun
Editorial	editorial	Noun
Editorial Board	direcciones	Noun
Editorial Office	direcciones	Noun
Educated	educado	Verb
Education	educación	Noun
Education	entrenamiento	Noun
Education	formación	Noun
Effect	efecto	Noun
Effect	efectos	Noun
Effect	efectuamos	Noun
Effect	efectuar	Noun
Effect	efectúa	Noun
Effect	efectúan	Noun
Effect	hace	Noun
Effect	hacemos	Noun
Effect	hacen	Noun
Effect	hacer	Noun
Effect	impresión	Noun
Effect	logra	Noun
Effect	logramos	Noun
Effect	logran	Noun
Effect	lograr	Noun
Effective	efectivo	Noun
Efficient	eficaz	Noun
Efficient	eficiente	Noun
Efficient	eficientes	Noun
Effort	empeño	Noun
Effort	esfuerzas	Noun
Effort	esfuerzo	Noun
Egg	huevo	Noun
Eggplant	berenjena	Noun
Eggs	huevo	Noun
Egocentric	egocéntrico	Noun
Eight	ocho	Noun
Eight Hundred	ochocientos	Noun
Eighteen	dieciocho	Noun
Eighteenth	decimoctavo	Adjective
Eighteenth	décima octava	Adjective
Eighteenth	décimo octavo	Adjective
Eighth	ocho	Noun
Eighth	octavo	Noun
Eighties	años ochenta	Noun
Eighties	ochenta	Noun
Eightieth	octogésima	Adjective
Eightieth	octogésimo	Adjective
Eighty	ochenta	Noun
Either	alguna	Noun
Either	alguno	Noun
Either	cualquier	Noun
Either	cualquiera	Noun
Either	ninguna	Noun
Either	ninguno	Noun
Either	tampoco	Noun
Either Of	entre	Noun
Elastic Band	liga	Noun
Elbow	codo	Noun
Elbow	el codo	Noun
Elbow	recodo	Noun
Elderly	anciano	Adverb
Elderly	mayor	Adverb
Elderly Man	anciano	Noun
Elect	elegidas	Noun
Elect	elegido	Noun
Elect	elegir	Noun
Elect	eligen	Noun
Elect	elijamos	Noun
Elect	elijan	Noun
Elect	seleccionamos	Noun
Elected	elegimos	Verb
Elected	eligió	Verb
Election	elecciones	Noun
Election	elección	Noun
Election	electoral	Noun
Election	electorales	Noun
Elections	elección	Noun
Elective	optativo	Noun
Electoral	electoral	Noun
Electric	electrificado	Noun
Electric	electrizante	Noun
Electric	eléctrica	Noun
Electric	eléctrico	Noun
Electric Car	el auto	Noun
Electric Car	el carro eléctrico	Noun
Electric Car	el coche eléctrico	Noun
Electric Motor	el motor eléctrico	Noun
Electric Razor	la maquinilla eléctrica	Noun
Electric Toothbrush	el cepillo de dientes eléctrico	Noun
Electric Windows	los elevalunas eléctricos	Noun
Electrical	electrodoméstico	Noun
Electrical	eléctrica	Noun
Electrical	eléctrico	Noun
Electrical	eléctricos	Noun
Electrical Appliance	electrodoméstico	Noun
Electrician	electricista	Noun
Electrician	un electricista	Noun
Electrician	una electricista	Noun
Electricity	electricidad	Noun
Electronic	electrónica	Noun
Electronic	electrónico	Noun
Electronic	electrónicos	Noun
Electronic Payment	pago electrónico	Noun
Elegantly	elegante	Adverb
Elengantly	elegante	Adverb
Elephant	elefante	Noun
Elephant	elefantes	Noun
Elevator	ascensor	Noun
Elevator's	ascensor	Noun
Eleven	equipo	Noun
Eleven	once	Noun
Eleventh	décima primera	Adjective
Eleventh	décimo primero	Adjective
Eleventh	en undécimo lugar	Adjective
Eleventh	once	Adjective
Eleventh	onceavo	Adjective
Eleventh	undécima	Adjective
Eleventh	undécimo	Adjective
Elf	un duende	Noun
Eliminate	eliminar	Noun
Else	demás	Noun
Else	más	Noun
Else	otra	Noun
Email	correo	Noun
Email	correo electrónico	Noun
Email	correos electrónicos	Noun
Email	envíes un email	Noun
Email Address	correo electrónico	Noun
Emails	correos electrónicos	Noun
Embarrass	avergonzar	Noun
Embarrass	avergonzaste	Noun
Embarrass	avergüences	Noun
Embarrass	avergüenzan	Noun
Embarrass	avergüenzas	Noun
Embarrass	hacerle pasar vergüenza a	Noun
Embarrass	ponen en una situación embarazosa	Noun
Embarrass	poner en una situación embarazosa	Noun
Embarrass	pones en una situación embarazosa	Noun
Embarrassed	avergoncé	Verb
Embarrassed	avergonzaba	Verb
Embarrassed	avergonzaban	Verb
Embarrassed	avergonzada	Verb
Embarrassed	avergonzadas	Verb
Embarrassed	avergonzado	Verb
Embarrassed	avergonzar	Verb
Embarrassed	avergonzaron	Verb
Embarrassed	avergonzó	Verb
Embarrassed	confundido	Verb
Embarrassed	dado tanta vergüenza	Verb
Embarrassing	vergüenza	Verb
Embarrassment	corte	Noun
Embarrassment	vergüenza	Noun
Embassy	embajada	Noun
Emblem	el emblema	Noun
Embrace	abrazar	Noun
Embrace Each Other	abrazar	Noun
Emerge	surgir	Noun
Emergency	apuros	Noun
Emergency	emergencia	Noun
Emergency	una emergencia	Noun
Emergency	urgencia	Noun
Emergency	urgencias	Noun
Emergency Exit	la salida de emergencia	Noun
Emergency Triangles	los triángulos de emergencia	Noun
Emotion	la emoción	Noun
Emotional	emocional	Noun
Emotions	sentir	Noun
Empathy	la empatía	Noun
Employed	empleado	Verb
Employee	agente	Noun
Employee	empleada	Noun
Employee	empleado	Noun
Employee	empleados	Noun
Employee	funcionario	Noun
Employer	empleador	Noun
Employer	empleadora	Noun
Employer	patrona	Noun
Employer	patrón	Noun
Employment	empleo	Noun
Employment Benefit	prestación laboral	Noun
Employment Income	los rendimientos del trabajo	Noun
Empower	empoderar	Noun
Emptied	descargar	Verb
Empty	vacía	Noun
Empty	vacías	Noun
Empty	vacío	Noun
Empty	vacíos	Noun
Empty Out	botan	Noun
Empty Out	tiran	Noun
Empty Out	vaciar	Noun
Empty Out	vaciaré	Noun
Empty Out	vacían	Noun
En General On The Whole	en síntesis	Noun
En Plan	VAT	Noun
Enchanting	encantador	Verb
Encircle	abrazar	Noun
Encounter	contacto	Noun
Encounter	encontrar	Noun
Encounter	encontronazo	Noun
Encounter	encuentre	Noun
Encounter	encuentro	Noun
Encountered	encontraron	Verb
Encountered	encontró	Verb
Encountering	encontrar	Verb
Encounters	encuentra	Noun
Encourage	alentamos	Noun
Encourage	alentar	Noun
Encourage	alientan	Noun
Encourage	alientas	Noun
Encourage	aliento	Noun
Encourage	animamos	Noun
Encourage	animan	Noun
Encourage	animar	Noun
Encourage	animaste	Noun
Encourage	animen	Noun
Encourage	animo	Noun
Encourage	animó	Noun
Encourage	cultivar	Noun
Encourage	cultivo	Noun
Encourage	estimulamos	Noun
Encourage	estimulan	Noun
Encourage	estimular	Noun
Encourage	estimulo	Noun
Encourage	fomentamos	Noun
Encourage	fomentan	Noun
Encourage	fomentar	Noun
Encourage	fomento	Noun
Encourage	intensificamos	Noun
Encourage	intensifican	Noun
Encourage	intensificar	Noun
Encouragement	cultivo	Noun
Encouragement	ánimo	Noun
Encumber	afectar	Noun
End	acabar	Noun
End	acabara	Noun
End	acabaremos	Noun
End	acabaron	Noun
