English	Chinese	Pinyin	Part of Speech
Cards	贺卡	hè kǎ	Noun
Care	互相关心	hù xiāng guān xīn	Noun
Care	关心	guān xīn	Noun
Care	关怀	guān huái	Noun
Care	心思	xīn sī	Noun
Care	护理	hù lǐ	Noun
Care	照顾	zhào gù	Noun
Care	爱护	àihù	Noun
Care	看护	kān hù	Noun
Care About	关心	guān xīn	Adverb
Care About	在乎	zài hū	Adverb
Care About	在意	zàiyì	Adverb
Care About	很关心	hěn guān xīn	Adverb
Care For	关心	guānxīn	Noun
Care For	想要	xiǎng yào	Noun
Career	事业	shì yè	Noun
Career	职业	zhí yè	Noun
Carefree	痛快	tòng kuài	Noun
Careful	仔细	zǐ xì	Adjective
Careful	体贴	tǐ tiē	Adjective
Careful	周密	zhōumì	Adjective
Careful	小心	xiǎo xīn	Adjective
Careful	慎重	shènzhòng	Adjective
Careful	注意	zhù yì	Adjective
Careful	精细	jīng xì	Adjective
Careful	细心	xì xīn	Adjective
Careful	细致	xìzhì	Adjective
Careful	谨慎	jǐn shèn	Adjective
Carefully	仔细地	zǐ xì dì	Adverb
Carefully	好好	hǎo hǎo	Adverb
Carefully	小心地	xiǎo xīn dì	Adverb
Carefully	小心翼翼地	xiǎo xīn yì yì dì	Adverb
Carefully	精心	jīng xīn	Adverb
Careless	大意	dàyi	Adjective
Careless	粗心	cū xīn	Adjective
Careless	粗心的	cū xīn de	Adjective
Careless	马虎	mǎ hǔ	Adjective
Caring	在乎	zài hū	Verb
Carnival	嘉年华	jiā nián huá	Noun
Carpet	地毯	de tǎn	Noun
Carpool	拼车	pīn chē	Noun
Carriage	车厢	chēxiāng	Noun
Carriage	马车	mǎ chē	Noun
Carried	带着	dài zhe	Verb
Carried	抱着	bào zhe	Verb
Carried	拿了	ná le	Verb
Carrot	胡萝卜	hú luó bo	Noun
Carry	带	dài	Verb
Carry	扛	káng	Verb
Carry	拿	ná	Verb
Carry	拿着	ná zhe	Verb
Carry	提	tí	Verb
Carry	携带	xiédài	Verb
Carry	背	bèi	Verb
Carry Forward	发扬	fāyáng	Noun
Carry On	随身	suíshēn	Verb
Carry On The Arm	挎	kuà	Noun
Carry Out	开展	kāi zhǎn	Noun
Carry-On	随身行李	suí shēn xíng lǐ	Noun
Carsick	晕车	yūn chē	Noun
Cart	手推车	shǒu tuī chē	Noun
Cartoon	动画片	dòng huà piàn	Noun
Cartoon	卡通	kǎtōng	Noun
Cartoon	卡通片	kǎ tōng piàn	Noun
Cartoon	漫画	mànhuà	Noun
Carve	雕刻	diāokè	Noun
Carve Out	创业	chuàngyè	Adjective
Carving	雕刻	diāokè	Verb
Case	案件	àn jiàn	Noun
Case	案例	ànlì	Noun
Case	盒	hé	Noun
Cash	兑现	duìxiàn	Noun
Cash	块钱	kuài qián	Noun
Cash	现金	xiàn jīn	Noun
Cash	现钞	xiàn chāo	Noun
Cash	钞票	chāopiào	Noun
Cash	钱	qián	Noun
Cash Dispenser	atm机	atm jī	Noun
Cash Machine	atm机	atm jī	Noun
Cash Register	收银台	shōu yín tái	Noun
Cash Withdrawal	取款	qǔ kuǎn	Noun
Cashier	收银员	shōu yín yuán	Noun
Casino	赌场	dǔ chǎng	Noun
Cast	全体演员	quán tǐ yǎn yuán	Noun
Cast	演员表	yǎn yuán biǎo	Noun
Cast Aside	唾弃	tuòqì	Noun
Cast Aside	撇	piē	Noun
Cast Off	丢弃	diū qì	Verb
Cast Off	摆脱	bǎituō	Verb
Casting	铸造	zhùzào	Verb
Castle	城堡	chéng bǎo	Noun
Casual	休闲	xiū xián	Adjective
Casual	休闲的	xiū xián de	Adjective
Casual	随便	suíbiàn	Adjective
Casual	随意	suíyì	Adjective
Casually	胡乱	húluàn	Adverb
Casually	随便	suí biàn	Adverb
Cat	猫	māo	Noun
Cat	猫咪	māo mī	Noun
Catalog	目录	mùlù	Noun
Catch	会得	huì dé	Verb
Catch	传染	chuán rǎn	Verb
Catch	夹住	jiā zhù	Verb
Catch	抓	zhuā	Verb
Catch	抓住	zhuā zhù	Verb
Catch	抓到	zhuā dào	Verb
Catch	抓过	zhuā guò	Verb
Catch	捉	zhuō	Verb
Catch	捉住	zhuō zhù	Verb
Catch	捉到	zhuō dào	Verb
Catch	捕到	bǔ dào	Verb
Catch	捕捉	bǔzhuō	Verb
Catch	捕捉到	bǔ zhuō dào	Verb
Catch	接	jiē	Verb
Catch	接住	jiē zhù	Verb
Catch	接球	jiē qiú	Verb
Catch	染上	rǎn shàng	Verb
Catch	猎捕	liè bǔ	Verb
Catch	目击	mù jī	Verb
Catch	赶上	gǎn shàng	Verb
Catch	追逐	zhuī zhú	Verb
Catch	逮	dǎi	Verb
Catch	逮住	dǎi zhù	Verb
Catch	逮到	dǎi dào	Verb
Catch	钓到	diào dào	Verb
Catch	钓得	diào dé	Verb
Catch	钓过	diào guò	Verb
Catch A Cold	感冒	gǎn mào	Noun
Catch Up	聚聚	jù jù	Noun
Catch Up With	赶	gǎn	Preposition
Catch You Up On	告诉你	gào sù nǐ	Noun
Catch You Up On	告诉你最新情况	gào sù nǐ zuì xīn qíng kuàng	Noun
Catching	接	jiē	Verb
Categorize	分类	fēn lèi	Noun
Categorize	划分	huà fēn	Noun
Category	分类	fēn lèi	Noun
Category	类别	lèi bié	Noun
Category	范畴	fànchóu	Noun
Catering	餐饮	cān yǐn	Verb
Catering	餐饮业	cān yǐn yè	Verb
Catholic	天主教的	tiān zhǔ jiào de	Noun
Cattle	牛	niú	Noun
Caught	卡住	kǎ zhù	Noun
Caught	抓	zhuā	Noun
Caught	抓住	zhuā zhù	Noun
Caught	抓住了	zhuā zhù le	Noun
Caught	接住了	jiē zhù le	Noun
Caught	被困	bèi kùn	Noun
Cause	一下子把	yī xià zi bǎ	Noun
Cause	促使	cùshǐ	Noun
Cause	包让	bāo ràng	Noun
Cause	原因	yuán yīn	Noun
Cause	害得	hài dé	Noun
Cause	导致	dǎo zhì	Noun
Cause	弄出	nòng chū	Noun
Cause	引起	yǐn qǐ	Noun
Cause	惹出	rě chū	Noun
Cause	招来	zhāo lái	Noun
Cause	掀起	xiānqǐ	Noun
Cause	搅得	jiǎo dé	Noun
Cause	致使	zhìshǐ	Noun
Cause	触发	chù fā	Noun
Cause	造成	zàochéng	Noun
Causing	制造	zhì zào	Verb
Caution	告诫	gàojiè	Noun
Cautious	小心	xiǎo xīn	Adjective
Cautious	谨慎	jǐnshèn	Adjective
Cautious	谨慎的	jǐn shèn de	Adjective
Cautious And Conscientious	兢兢业业	jīngjīngyèyè	Adjective
Cave	洞穴	dòng xué	Noun
Cd	光盘	guāngpán	Noun
Ceiling	天花板	tiān huā bǎn	Verb
Celebrate	庆祝	qìng zhù	Verb
Celebrate	过	guò	Verb
Celebrate The New Year	过年	guò nián	Noun
Celebrate The Spring Festival	过年	guò nián	Noun
Celebration	庆祝	qìng zhù	Noun
Celebration	庆祝会	qìng zhù huì	Noun
Celebrity	名人	míng rén	Noun
Celebrity	名流	míng liú	Noun
Celebrity	大名	dà míng	Noun
Celebrity	大牌	dà pái	Noun
Celebrity	明星	míng xīng	Noun
Celery	芹菜	qín cài	Noun
Cell	细胞	xì bāo	Noun
Cell Phone	手机	shǒu jī	Noun
Cello	大提琴	dà tí qín	Noun
Cellphone	手机	shǒujī	Noun
Cells	细胞	xìbāo	Noun
Cement	水泥	shuǐní	Noun
Cemetery	墓地	mù dì	Noun
Censure	谴责	qiǎnzé	Noun
Cent	分	fēn	Noun
Cent	分文	fēn wén	Noun
Center	中央	zhōngyāng	Noun
Center	中心	zhōng xīn	Noun
Center	中部	zhōng bù	Noun
Center	中间	zhōng jiān	Noun
Centigrade	摄氏度	shèshìdù	Noun
Centimeter	厘米	lí mǐ	Noun
Central	中央	zhōng yāng	Noun
Central	中心的	zhōng xīn de	Noun
Century	世纪	shì jì	Noun
Ceo	总裁	zǒng cái	Noun
Ceramics	陶瓷	táocí	Noun
Cereal	麦片	mài piàn	Noun
Ceremonious	隆重	lóngzhòng	Adjective
Ceremony	仪式	yí shì	Noun
Ceremony	典礼	diǎn lǐ	Noun
Ceremony	式	shì	Noun
Certain	一定	yídìng	Noun
Certain	必然	bìrán	Noun
Certain	有把握	yǒu bǎ wò	Noun
Certain	有数	yǒu shù	Noun
Certain	有部	yǒu bù	Noun
Certain	某种	mǒu zhǒng	Noun
Certain	特定	tè dìng	Noun
Certain	百分之百	bǎi fēn zhī bǎi	Noun
Certain	肯定	kěn dìng	Noun
Certainly	万万	wàn wàn	Adverb
Certainly	可不	kě bù	Adverb
Certainly	可真有	kě zhēn yǒu	Adverb
Certainly	当然可以	dāng rán kě yǐ	Adverb
Certainly	必定	bì dìng	Adverb
Certainly	无疑	wú yí	Adverb
Certainly	毫无疑问	háo wú yí wèn	Adverb
Certainly	的确如此	dí què rú cǐ	Adverb
Certainly	肯定	kěn dìng	Adverb
Certainly	诚然	chéng rán	Adverb
Certainly	那还用说	nà hái yòng shuō	Adverb
Certainly Will	势必	shìbì	Noun
Certificate	凭证	píng zhèng	Noun
Certificate	奖状	jiǎng zhuàng	Noun
Certificate	认可	rènkě	Noun
Certificate	证	zhèng	Noun
Certificate	证书	zhèng shū	Noun
Certificates	证件	zhèngjiàn	Noun
Certified	受认证的	shòu rèn zhèng de	Verb
Cervical Vertebra	颈椎	jǐngzhuī	Noun
Chain	连锁	liánsuǒ	Noun
Chair	椅	yǐ	Noun
Chair	椅子	yǐ zi	Noun
Chairman	主席	zhǔxí	Noun
Chairman	董事长	dǒngshìzhǎng	Noun
Chairs	椅子	yǐ zi	Noun
Chalk	粉笔	fěn bǐ	Noun
Challenge	冲击	chōng jī	Noun
Challenge	发起	fā qǐ	Noun
Challenge	挑战	tiāo zhàn	Noun
Challenge	挑战性	tiǎo zhàn xìng	Noun
Challenge	较量	jiàoliàng	Noun
Challenge	难题	nán tí	Noun
Challenging	有挑战性的	yǒu tiǎo zhàn xìng de	Verb
Champagne	香槟	xiāng bīn	Noun
Champion	冠	guān	Noun
Champion	冠军	guān jūn	Noun
Champion	得主	dé zhǔ	Noun
Champion	胜者	shèng zhě	Noun
Champion	金牌	jīn pái	Noun
Champion	高手	gāo shǒu	Noun
Championship	冠军赛	guān jūn sài	Noun
Championship	锦标赛	jǐn biāo sài	Noun
Chance	几率	jī lǜ	Noun
Chance	巧合	qiǎo hé	Noun
Chance	机会	jī huì	Noun
Chance	机遇	jī yù	Noun
Chance	概率	gài lǜ	Noun
Chance	随机	suí jī	Noun
Chances	可能	kě néng	Noun
Chances Are	很可能	hěn kě néng	Noun
Change	变	biàn	Noun
Change	变动	biàn dòng	Noun
Change	变化	biàn huà	Noun
Change	变化得	biàn huà dé	Noun
Change	变成	biàn chéng	Noun
Change	换	huàn	Noun
Change	换好	huàn hǎo	Noun
Change	改	gǎi	Noun
Change	改变	gǎi biàn	Noun
Change	更改	gēng gǎi	Noun
Change	转变	zhuǎnbiàn	Noun
Change	转换	zhuǎn huàn	Noun
Change	零钱	língqián	Noun
Change Direction	拐弯	guǎi wān	Noun
Change Field	转行	zhuǎn xíng	Noun
Change Line Of Work	转行	zhuǎn xíng	Noun
Change Occupation	转行	zhuǎn xíng	Noun
Change Planes	转机	zhuǎn jī	Noun
Change Profession	转行	zhuǎn xíng	Noun
Change Rapidly	日新月异	rìxīn-yuèyì	Adverb
Change Schools	转学	zhuǎn xué	Noun
Change The Subject	换话题	huàn huà tí	Noun
Changed	变成	biàn chéng	Verb
Changes	变迁	biànqiān	Noun
Channel	台	tái	Noun
Channel	渠道	qú dào	Noun
Channel	途径	tújìng	Noun
Channel	频道	pín dào	Noun
Channeling	窜	cuàn	Verb
Chaos	乱	luàn	Noun
Chaotic	混乱	hùn luàn	Noun
Chaperone	陪同人	péi tóng rén	Noun
Chapter	章	zhāng	Noun
Chapter	章节	zhāng jié	Noun
Character	人物	rén wù	Noun
Character	品德	pǐndé	Noun
Character	字	zì	Noun
Character	性格	xìng gé	Noun
Character	文字	wénzì	Noun
Character	汉字	hàn zì	Noun
Character	角色	jiǎo sè	Noun
Characteristic	特点	tèdiǎn	Adjective
Characteristic	特色	tèsè	Adjective
Charge	付费	fù fèi	Noun
Charge	充	chōng	Noun
Charge	充电	chōng diàn	Noun
Charge	告上	gào shàng	Noun
Charge	房费	fáng fèi	Noun
Charge	指控	zhǐ kòng	Noun
Charge	攻	gōng	Noun
Charge	此项	cǐ xiàng	Noun
Charge	罪名	zuì míng	Noun
Charge	费	fèi	Noun
Charge Someone With A Task	嘱咐	zhǔfù	Noun
Charged	收	shōu	Verb
Charged	收费	shōu fèi	Verb
Charger	充电器	chōng diàn qì	Noun
Charger	器	qì	Noun
Charisma	气质	qì zhì	Noun
Charity	慈善	císhàn	Noun
Charity	慈善机构	cí shàn jī gòu	Noun
Charity Organization	慈善机构	cí shàn jī gòu	Noun
Charity Sale	义卖	yì mài	Noun
Charm	魅力	mèi lì	Noun
Charming	有魅力的	yǒu mèi lì de	Adjective
Charming	迷人	mí rén	Adjective
Chart	图表	tú biǎo	Noun
Chase	追	zhuī	Noun
Chat	聊	liáo	Noun
Chat	聊天	liáo tiān	Noun
Chat	谈	tán	Noun
Chat	闲聊	xián liáo	Noun
Chats	聊天	liáo tiān	Noun
Chatting	侃侃而谈	kǎnkǎn ér tán	Verb
Chatting	聊天	liáo tiān	Verb
Cheap	低质量	dī zhì liàng	Adjective
Cheap	便	biàn	Adjective
Cheap	便宜	biàn yí	Adjective
Cheap	便宜的	pián yi de	Adjective
Cheap	劣质	liè zhì	Adjective
Cheap	宜	yí	Adjective
Cheap	廉	lián	Adjective
Cheap	廉价	lián jià	Adjective
Cheaper	便	biàn	Noun
Cheaper	便宜	biàn yí	Noun
Cheaper	便宜一点儿	pián yi yì diǎn ér	Noun
Cheaper	宜	yí	Noun
Cheaper	更便宜	gèng pián yi	Noun
Cheaper	更便宜了	gèng pián yi le	Noun
Cheat	作弊	zuòbì	Verb
Cheat On	出轨	chū guǐ	Noun
Cheat On	欺骗	qīpiàn	Noun
Check	买单	mǎi dān	Noun
Check	刷	shuā	Noun
Check	勾	gōu	Noun
Check	支票	zhī piào	Noun
Check	查看	chá kàn	Noun
Check	查看一下	chá kàn yī xià	Noun
Check	检查	jiǎn chá	Noun
Check	检查一下	jiǎn chá yī xià	Noun
Check	结账	jié zhàng	Noun
Check	账单	zhàng dān	Noun
Check	量	liàng	Noun
Check About	询问	xún wèn	Noun
Check Before Acceptance	验收	yànshōu	Noun
Check Hairstyle In The Mirror	照镜子	zhào jìng zi	Noun
Check In	入住	rù zhù	Preposition
Check In	办理值机	bàn lǐ zhí jī	Preposition
Check In	办理入住	bàn lǐ rù zhù	Preposition
Check In	托运	tuō yùn	Preposition
Check In	报到	bàodào	Preposition
Check In	签到	qiān dào	Preposition
Check Oneself In The Mirror	照镜子	zhào jìng zi	Noun
Check Out	退房	tuì fáng	Noun
Check Tickets	检票	jiǎn piào	Noun
Check-Up	检查	jiǎn chá	Noun
Checked	检查	jiǎn chá	Verb
Checking	查看	chá kàn	Verb
Checking Account	支票账户	zhī piào zhàng hù	Noun
Checkout	收银台	shōu yín tái	Noun
Checkout	结账	jiézhàng	Noun
Checks	查看	chá kàn	Noun
Checks	检查	jiǎn chá	Noun
Cheek	脸颊	liǎn jiá	Noun
Cheer	喝彩	hè cǎi	Noun
Cheer	欢呼	huān hū	Noun
Cheer	高喊	gāo hǎn	Noun
Cheer For	加油	jiā yóu	Noun
Cheerful	愉快	yúkuài	Adjective
Cheerful	高兴的	gāo xìng de	Adjective
Cheerleader	拉拉队队员	lā lā duì duì yuán	Noun
Cheerleading Squad	啦啦队	la la duì	Noun
Cheers	干	gàn	Noun
Cheers	干杯	gàn bēi	Noun
Cheese	乳酪	rǔ lào	Noun
Cheese	奶酪	nǎi lào	Noun
Cheese	干酪	gān lào	Noun
Cheese	芝士	zhī shì	Noun
Cheese	起司	qǐ sī	Noun
Chef	主厨	zhǔ chú	Noun
Chef	厨师	chú shī	Noun
Chemical	化学品	huà xué pǐn	Noun
Chemical Fertilizer	化肥	huà féi	Noun
Chemistry	化学	huà xué	Noun
Chengdu	成都	chéng dōu	Noun
Cheongsam	旗袍	qípáo	Noun
Cherish	爱惜	àixī	Noun
Cherish	珍惜	zhēn xī	Noun
Chess	国际象棋	guó jì xiàng qí	Noun
Chest	胸	xiōng	Noun
Chest	胸膛	xiōngtáng	Noun
Chest	胸部	xiōng bù	Noun
Chew	咀嚼	jǔjué	Verb
Chew	咬得	yǎo dé	Verb
Chew	啃	kěn	Verb
Chew	啃着	kěn zhe	Verb
Chew	啃过	kěn guò	Verb
Chew	嚼	jué	Verb
Chic	潇洒	xiāosǎ	Noun
Chick	小鸟	xiǎo niǎo	Noun
Chick	小鸡	xiǎo jī	Noun
Chick	雏鸟	chú niǎo	Noun
Chicken	鸡	jī	Noun
Chicken	鸡肉	jī ròu	Noun
Chicken Breast	鸡胸肉	jī xiōng ròu	Noun
Chicken Wing	鸡翅	jī chì	Noun
Chief	首	shǒu	Noun
Chief	首要	shǒuyào	Noun
Child	儿童	ér tóng	Noun
Child	孩	hái	Noun
Child	孩子	hái zi	Noun
Child	小孩	xiǎo hái	Noun
Child	小孩儿	xiǎo hái ér	Noun
Child	小朋友	xiǎo péng yǒu	Noun
Child Care	育儿	yù ér	Noun
Child-Rearing	育儿	yù ér	Verb
Childcare	育儿	yù ér	Noun
Childhood	儿时	ér shí	Noun
Childhood	幼年	yòu nián	Noun
Childhood	幼时	yòu shí	Noun
Childhood	童	tóng	Noun
Childhood	童年	tóng nián	Noun
Childish	孩子气的	hái zi qì de	Noun
Children	儿女	ér nǚ	Noun
Children	儿童	ér tóng	Noun
Children	子女	zi nǚ	Noun
Children	孩子	hái zi	Noun
Children	孩子们	hái zi men	Noun
Children	小孩	xiǎo hái	Noun
Children	小孩儿	xiǎo hái ér	Noun
Children	小孩子	xiǎo hái zi	Noun
Children	小朋友	xiǎo péng yǒu	Noun
Chili	辣椒	là jiāo	Noun
Chili Pepper	辣椒	là jiāo	Noun
Chili Sauce	辣椒酱	là jiāo jiàng	Noun
Chime In With	附和	fùhè	Preposition
Chimney	烟囱	yān cōng	Noun
Chin	下巴	xià bā	Noun
China	中国	zhōng guó	Noun
Chinatown	中国城	zhōng guó chéng	Noun
Chinese	中国	zhōng guó	Adjective
Chinese	中国人	zhōng guó rén	Adjective
Chinese	中国的	zhōng guó de	Adjective
Chinese	中国话	zhōng guó huà	Adjective
Chinese	中文	zhōng wén	Adjective
Chinese	华文	huá wén	Adjective
Chinese	华裔	huáyì	Adjective
Chinese	国语	guó yǔ	Adjective
Chinese	普通话	pǔtōnghuà	Adjective
Chinese	汉语	hàn yǔ	Adjective
Chinese Born	华裔	huáyì	Adjective
Chinese Character	汉字	hàn zì	Noun
Chinese Characters	汉字	hàn zì	Noun
Chinese Cuisine	中餐	zhōng cān	Noun
Chinese New Year's Eve	除夕	chú xī	Noun
Chinese Zodiac	生肖	shēngxiào	Adjective
Chip	切片	qiē piàn	Noun
Chip	咬到	yǎo dào	Noun
Chip	屑	xiè	Noun
Chip	断掉	duàn diào	Noun
Chip	筹	chóu	Noun
Chip	薄片	báo piàn	Noun
Chip	薯片	shǔ piàn	Noun
Chips	薯条	shǔ tiáo	Noun
Chips	薯片	shǔ piàn	Noun
Chocolate	巧克力	qiǎo kè lì	Noun
Chocolate	朱古力	zhū gǔ lì	Noun
Chocolates	巧克力	qiǎokèlì	Noun
Choice	决定	jué dìng	Noun
Choice	选择	xuǎn zé	Noun
Choices	择	zé	Noun
Choir	合唱	hé chàng	Noun
Choir	合唱团	hé chàng tuán	Noun
Chongqing	重庆	chóng qìng	Verb
Choose	圈出	quān chū	Noun
Choose	我选	wǒ xuǎn	Noun
Choose	挑	tiāo	Noun
Choose	挑选	tiāo xuǎn	Noun
Choose	选	xuǎn	Noun
Choose	选中	xuǎn zhōng	Noun
Choose	选人	xuǎn rén	Noun
Choose	选在	xuǎn zài	Noun
Choose	选择	xuǎn zé	Noun
Choose	选用	xuǎn yòng	Noun
Choose	选菜	xuǎn cài	Noun
Choose	选进	xuǎn jìn	Noun
Choose	選擇	xuǎn zé	Noun
Choose Courses	选课	xuǎn kè	Noun
Choose To	选择	xuǎn zé	Noun
Chop	切碎	qiè suì	Noun
Chopstick	筷子	kuài zi	Noun
Chopsticks	筷子	kuàizi	Noun
Choral Singing	合唱	hé chàng	Noun
Chore	家务	jiā wù	Noun
Chore	活儿	huó er	Noun
Chore	苦差事	kǔ chāi shì	Noun
Chorus	副歌	fù gē	Noun
Chorus	合唱	hé chàng	Noun
Chosen	选中	xuǎn zhōng	Noun
Christian	基督教的	jī dū jiào de	Noun
Christmas	圣诞节	shèng dàn jié	Noun
Chronic	慢性	mànxìng	Noun
Chunk	块	kuài	Quantifier
Church	教堂	jiào táng	Noun
Cider	苹果酒	píng guǒ jiǔ	Noun
Cigarette	（香）烟	（ xiāng ） yān	Noun
Cilantro	香菜	xiāng cài	Noun
Cinema	电影院	diàn yǐng yuàn	Noun
Cinnamon	肉桂	ròu guì	Noun
Circle	圆圈	yuán quān	Noun
Circle	圈	quān	Noun
Circle	圈子	quān zi	Noun
Circle	环	huán	Noun
Circular	圆	yuán	Adjective
Circulation	流通	liútōng	Noun
Circumference	方圆	fāngyuán	Noun
Circumstance	情况	qíng kuàng	Noun
Circumstance	情形	qíngxíng	Noun
Circus	马戏团	mǎ xì tuán	Noun
Cite	举例	jǔ lì	Verb
Cite	表彰	biǎozhāng	Verb
Cities	城市	chéng shì	Noun
Citizen	公民	gōng mín	Noun
Citizen	居民	jū mín	Noun
Citizen	市民	shì mín	Noun
City	城	chéng	Noun
City	城市	chéng shì	Noun
City	城里	chéng lǐ	Noun
City	都市	dōu shì	Noun
City Center	市中心	shì zhōng xīn	Noun
City Hall	市政厅	shì zhèng tīng	Noun
Civil Servant	公务员	gōng wù yuán	Noun
Civilization	文明	wén míng	Noun
Civilization	文明社会	wén míng shè huì	Noun
Claim	主张	zhǔ zhāng	Noun
Claim	声称	shēng chēng	Noun
Claim	夺得	duó de	Noun
Claim	宣称	xuān chēng	Noun
Claim	揽	lǎn	Noun
Claim	索取	suǒqǔ	Noun
Claim	索要	suǒ yào	Noun
Claim	說	shuō	Noun
Claim	辩称	biàn chēng	Noun
Claim	领取	lǐng qǔ	Noun
Clap	拍手	pāi shǒu	Noun
Clap	掌	zhǎng	Noun
Clap	鼓掌	gǔ zhǎng	Noun
Clapping	鼓掌	gǔ zhǎng	Verb
Clarified	说明	shuō míng	Verb
Clarify	交代	jiāo dài	Verb
Clarify	澄清	chéng qīng	Verb
Clarify One’s Position	表态	biǎotài	Noun
Clash	冲击	chōng jī	Noun
Class	上课	shàng kè	Noun
Class	棵	kē	Noun
Class	班	bān	Noun
Class	班级	bān jí	Noun
Class	舱	cāng	Noun
Class	课	kè	Noun
Class	课堂	kè táng	Noun
Class	课程	kè chéng	Noun
Class Monitor	班长	bān zhǎng	Noun
Class Reunion	同学聚会	tóng xué jù huì	Noun
Classes	三节课	sān jié kè	Noun
Classes	两节课	liǎng jié kè	Noun
Classes	五节课	wǔ jié kè	Noun
Classes	六节课	liù jié kè	Noun
Classes	几节课	jǐ jié kè	Noun
Classes	四节课	sì jié kè	Noun
Classes	外语课	wài yǔ kè	Noun
Classes	摄影课	shè yǐng kè	Noun
Classes	课	kè	Noun
Classes	课程	kè chéng	Noun
Classic	经典	jīng diǎn	Noun
Classical	古典	gǔ diǎn	Noun
Classical	古典的	gǔ diǎn de	Noun
Classics	经典	jīngdiǎn	Noun
Classification	分组	fēn zǔ	Noun
Classified	机密的	jī mì de	Verb
Classifier Of Flower	朵	duǒ	Noun
Classifier Of Picture	幅	fú	Noun
Classmate	同学	tóng xué	Noun
Classmate	同校	tóng xiào	Noun
Classmate	同桌	tóng zhuō	Noun
Classmate	同班同学	tóng bān tóng xué	Noun
Classroom	教室	jiào shì	Noun
Classroom	课堂	kè táng	Noun
Clause	条款	tiáokuǎn	Noun
Clean	净	jìng	Adjective
Clean	干净	gàn jìng	Adjective
Clean	干净的	gān jìng de	Adjective
Clean	很干净	hěn gān jìng	Adjective
Clean	很干净的	hěn gān jìng de	Adjective
Clean	打扫	dǎ sǎo	Adjective
Clean	擦	cā	Adjective
Clean	清洁	qīngjié	Adjective
Clean	清理	qīng lǐ	Adjective
Clean	清白	qīng bái	Adjective
Clean Up	打扫	dǎ sǎo	Noun
Clean Up	收拾	shōu shí	Noun
Clean Up	清理	qīng lǐ	Noun
Clean-Fingered	廉洁	liánjié	Verb
Clean-Up	打扫	dǎ sǎo	Noun
Cleaned	打扫	dǎ sǎo	Verb
Cleaner	保洁员	bǎo jié yuán	Noun
Cleaner	清洁工	qīng jié gōng	Noun
Cleaning	保洁	bǎo jié	Verb
Cleaning	在打扫	zài dǎ sǎo	Verb
Cleaning	大扫除	dà sǎo chú	Verb
Cleaning	打扫	dǎ sǎo	Verb
Cleaning	清理	qīng lǐ	Verb
Cleaning Up	打扫	dǎ sǎo	Noun
Cleans	打扫	dǎ sǎo	Noun
Cleans Up	清理	qīng lǐ	Noun
Clear	不言而喻	bùyán’éryù	Adjective
Clear	不难理解	bù nán lǐ jiě	Adjective
Clear	分明	fēnmíng	Adjective
Clear	响亮	xiǎngliàng	Adjective
Clear	得通	dé tōng	Adjective
Clear	挪开	nuó kāi	Adjective
Clear	推离	tuī lí	Adjective
Clear	放晴	fàng qíng	Adjective
Clear	明摆着	míng bǎi zhe	Adjective
Clear	明显	míng xiǎn	Adjective
Clear	明显的	míng xiǎn de	Adjective
Clear	明白	míngbai	Adjective
Clear	明确	míng què	Adjective
Clear	明确的	míng què de	Adjective
Clear	易读	yì dú	Adjective
Clear	显而易见	xiǎn ér yì jiàn	Adjective
Clear	晰	xī	Adjective
Clear	晴	qíng	Adjective
Clear	晴朗	qíng lǎng	Adjective
Clear	晴朗的	qíng lǎng de	Adjective
Clear	有条理	yǒu tiáo lǐ	Adjective
Clear	楚	chǔ	Adjective
Clear	洪亮	hóng liàng	Adjective
Clear	浏	liú	Adjective
Clear	清	qīng	Adjective
Clear	清扫	qīng sǎo	Adjective
Clear	清晰	qīng xī	Adjective
Clear	清晰的	qīng xī de	Adjective
Clear	清楚	qīng chǔ	Adjective
Clear	清澈	qīng chè	Adjective
Clear	清澈的	qīng chè de	Adjective
Clear	清理	qīnglǐ	Adjective
Clear	清脆	qīng cuì	Adjective
Clear	清除	qīngchú	Adjective
